idno,auction,consign,sold,lotdamag,grossrev,ebitda,ftterm,fthead,ptterm,pthead,wcclaims,osha,type,legacy,training,t1,t2,t3,trhrs,prof,pfevale,jobdesc,selection,griev,fininf,plninf,rotat,cross,bonus,merit,senpay,intprom,intpost,applic,gmten,ei,oc
1,Albany,213240,81600,"$185,555.13","$51,867,277.76","$10,350,476.14",202,363,49,110,12,54,3,2,1,1,1,1,8,1,5,1,1,1,1,1,0,1,1,1,0,5,1,15,2,2.355,3.22
2,Ark-La-Tex,54500,35899,"$19,833.00","$12,500,995.00","$4,680,368.00",103,123,45,33,3,7,3,2,0,0,0,1,1,3,4,3,0,0,1,1,0,1,0,1,1,4,1,50,12,3.283,4.03
3,Atlanta,85205,46801,"$90,248.00","$19,916,314.00","$8,383,278.00",67,144,104,106,8,21,2,1,1,1,0,1,4,2,3,5,1,1,1,1,1,1,0,1,0,1,1,2,2,1.284,2.10
4,Austin,42579,19093,"$18,850.00","$6,077,423.00","$1,633,827.00",34,39,12,29,4,16,2,2,1,1,1,1,40,3,2,1,0,1,1,1,0,1,1,0,0,1,1,8,3,3.186,2.11
5,Baton Rouge,46027,27193,"$31,243.25","$12,886,454.38","$2,729,447.00",53,96,43,74,10,35,2,2,1,1,0,0,33,3,4,2,1,1,1,1,0,1,1,1,0,1,1,10,1,3.211,3.56
6,Birmingham,101235,62468,"$40,968.00","$21,155,661.00","$7,542,541.00",127,270,36,75,1,3,2,2,0,1,0,0,22,5,5,1,0,1,1,1,0,1,1,1,0,4,1,5,13,3.564,4.57
7,Boston,157348,107637,"$332,214.00","$41,948,004.00","$8,427,746.00",165,323,108,162,15,46,3,2,1,1,0,1,20,2,5,1,0,1,1,1,0,1,1,0,0,3,1,17,20,2.997,2.38
8,Buffalo,98302,64767,"$100,738.00","$22,858,664.00","$8,449,676.00",170,293,92,139,3,11,2,2,1,1,1,1,8,2,5,1,1,1,1,1,0,1,1,1,0,4,1,25,10,2.850,3.28
9,Calgary,69853,41350,"$30,400.50","$16,208,654.50","$6,111,454.50",97,133,52,54,5,13,3,2,1,1,0,1,40,3,5,2,0,1,1,1,0,1,1,1,0,3,1,17,7,2.498,4.12
10,Cary,167676,98747,"$178,538.34","$37,945,800.00","$6,210,670.73",383,404,131,189,3,21,2,1,1,1,0,0,8,1,1,1,1,0,1,0,0,1,1,0,0,2,1,3,1,2.401,1.69
11,Central Ark,17888,7193,"$30,110.00","$1,559,460.00","$29,814.00",11,42,16,22,5,10,2,2,1,1,1,1,2,3,5,2,1,1,1,1,0,1,1,1,0,2,1,15,8,1.677,1.22
